Title,Price,Location,Detail Link
WHITESTONE - Malba - Double Lot,60000,WHITESTONE,https://newyorkcraigslistorg/que/reo/d/elmhurst-whitestone-malba-double-lot/7760613555html
BRAND NEW UPPER WEST SIDE RESTAURANT FOR LEASE,17000,Upper West Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-brand-new-upper-west-side/7757720776html
PRIME CORNER MIDTOWN RETAIL FOR LEASE,29250,Midtown,https://newyorkcraigslistorg/mnh/reb/d/new-york-prime-corner-midtown-retail/7757725528html
WILL NOT LAST LONG - UWS DINER RESTAURANT AVAILABLE,17000,Upper West Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-will-not-last-long-uws-diner/7757725652html
NEW EAST VILLAGE RETAIL AVAILABLE,5400,East Village,https://newyorkcraigslistorg/mnh/reb/d/new-york-new-east-village-retail/7757725588html
RETAIL AVAILABLE - PERFECT FOR GYM/MEDICAL/OFFICE,11000,brooklyn,https://newyorkcraigslistorg/brk/reb/d/brooklyn-retail-available-perfect-for/7757725710html
PRIME UPPER EAST SIDE LEXINGTON AVE RETAIL FOR LEASE,13500,Upper East Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-prime-upper-east-side/7757725904html
MEDICAL/OFFICE/RETAIL - CORNER WILLIAMSBURG SPACE,11000,brooklyn,https://newyorkcraigslistorg/brk/reb/d/brooklyn-medical-office-retail-corner/7757732286html
IDEAL RETAIL/RESTAURANT IN SOHO/CHINATOWN,15000,SoHo,https://newyorkcraigslistorg/mnh/reb/d/new-york-ideal-retail-restaurant-in/7757733933html
IDEAL WILLIAMSBURG RETAIL - CORNER SPACE,48,brooklyn,https://newyorkcraigslistorg/brk/reb/d/brooklyn-ideal-williamsburg-retail/7757732355html
HARLEM RETAIL/RESTAURANT WITH OUTDOOR SPACE,17000,Harlem / Morningside,https://newyorkcraigslistorg/mnh/reb/d/new-york-harlem-retail-restaurant-with/7757737527html
CORNER RETAIL/OFFICE/MEDICAL SPACE FOR LEASE,28000,brooklyn,https://newyorkcraigslistorg/brk/reb/d/brooklyn-corner-retail-office-medical/7757734163html
RETAIL OPPORTUNITY IN EAST VILLAGE LOCATION,3700,East Village,https://newyorkcraigslistorg/mnh/reb/d/new-york-retail-opportunity-in-east/7757737637html
CHELSEA RESTAURANT SPACE AVAILABLE,15000,Chelsea,https://newyorkcraigslistorg/mnh/reb/d/new-york-chelsea-restaurant-space/7757737759html
COLUMBUS RETAIL UPPER WEST SIDE AVAILABLE,31400,Upper West Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-columbus-retail-upper-west/7757737936html
FULLY BUILT OUT CAFE AVAILABLE FOR LEASE,14000,Harlem / Morningside,https://newyorkcraigslistorg/mnh/reb/d/new-york-fully-built-out-cafe-available/7757758939html
BOUTIQUE CHARMING EAST VILLAGE RETAIL,6500,East Village,https://newyorkcraigslistorg/mnh/reb/d/new-york-boutique-charming-east-village/7757759036html
CORNER RETAIL FIDI SPACE AVAILABLE,44995,Financial District,https://newyorkcraigslistorg/mnh/reb/d/new-york-corner-retail-fidi-space/7757759121html
UPPER EAST SIDE CORNER RETAIL SPACE AVAILABLE FOR SUBLEASE,31242,Upper East Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-upper-east-side-corner-retail/7757759246html
NEWLY AVAILABLE - PRIME EAST VILLAGE RETAIL SPACE,6500,East Village,https://newyorkcraigslistorg/mnh/reb/d/new-york-newly-available-prime-east/7757761471html
Prime East Village Retail Opportunity,28000,East Village,https://newyorkcraigslistorg/mnh/reb/d/new-york-prime-east-village-retail/7757761581html
GREAT LOCATION - EAST VILLAGE RETAIL SPACE FOR RENT,6500,East Village,https://newyorkcraigslistorg/mnh/reb/d/new-york-great-location-east-village/7757761866html
PRIME MIDTOWN EAST RESTAURANT AVAILABLE,33000,Midtown East,https://newyorkcraigslistorg/mnh/reb/d/new-york-prime-midtown-east-restaurant/7757761948html
TURN KEY RESTAURANT SPACE IN PRIME NOLITA,13500,Nolita / Bowery,https://newyorkcraigslistorg/mnh/reb/d/new-york-turn-key-restaurant-space-in/7753317113html
MIDTWON WEST/COLUMBUS CIRCLE RETAIL SPACE FOR LEASE,13500,Midtown West,https://newyorkcraigslistorg/mnh/reb/d/new-york-midtwon-west-columbus-circle/7753317031html
